# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 23 20:23:55 2018
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
rowid,plntname,centralwavelng,bandwidth,plntransdep,plnradj,plnratror,plntranmid,plntranreflink,facility,instrument
221,GJ 3470 b,0.92220,,,,0.07660,2455983.741700,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,La Silla Observatory's 60-cm Trappist Telescope,
222,GJ 3470 b,0.92220,,,,0.07660,2455993.714100,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,The Swiss Euler 1.2m Telescope,EulerCam
223,GJ 3470 b,0.92220,,,,0.07660,2455993.714100,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,La Silla Observatory's 60-cm Trappist Telescope,
224,GJ 3470 b,0.78860,,,,0.07800,2456247.299540,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 0.5m Telescope,
225,GJ 3470 b,1.21500,,,,0.07570,2456247.299540,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 1.88m Telescope,ISLE
226,GJ 3470 b,0.64690,,,,0.07520,2456247.299540,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 0.5m Telescope,
227,GJ 3470 b,0.48580,,,,0.07860,2456247.299540,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 0.5m Telescope,
228,GJ 3470 b,0.92220,,,,0.07660,2456253.972900,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,Lick Observatory's 1m Nickel Telescope,CCD-2 Direct Imaging Camera
229,GJ 3470 b,0.62740,,,,0.08030,2456300.685510,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,LCOGT 1m telescope at Cerro Tololo Inter-American Observatory,SBIG imager
230,GJ 3470 b,0.87000,,,,0.07660,2456300.685510,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,LCOGT 1m telescope at Cerro Tololo Inter-American Observatory,SBIG imager
231,GJ 3470 b,0.78860,,,,0.07800,2456310.696160,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,Lowell Observatory's 4.3-m Discovery Channel Telescope,Large Monolithic Imager
232,GJ 3470 b,0.92220,,,,0.07660,2456310.696160,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,Lick Observatory's 1m Nickel Telescope,CCD-2 Direct Imaging Camera
233,GJ 3470 b,0.35750,,,,0.07920,2456340.725890,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,Large Binocular Telescope Observatory,
234,GJ 3470 b,0.96350,0.02200,,,0.07430,2456340.725890,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,Large Binocular Telescope Observatory,
235,GJ 3470 b,0.78860,,,,0.07360,2456340.725890,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,Steward Observatory's 1.5 meter Kuiper Telescope,Mont4K CCD Imager
236,GJ 3470 b,0.92220,,,,0.07660,2456350.735240,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,Lick Observatory's 1m Nickel Telescope,CCD-2 Direct Imaging Camera
237,GJ 3470 b,0.43260,,,,0.08400,2456360.744900,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,Faulkes Telescope North,
238,GJ 3470 b,0.62740,,,,0.08030,2456360.744900,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,LCOGT 1m telescope at McDonald Observatory,SBIG imager
239,GJ 3470 b,0.78860,,,,0.07800,2456367.419490,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,Calar Alto observatory's 1.23m Telescope,
240,GJ 3470 b,0.76950,,,,0.07650,2456370.756410,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,LCOGT 1m telescope at McDonald Observatory,SBIG imager
241,GJ 3470 b,0.62740,,,,0.08030,2456380.764800,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>,LCOGT 1m telescope at McDonald Observatory,SBIG imager
242,GJ 3470 b,1.15300,,,,0.08114,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
243,GJ 3470 b,1.15700,,,,0.07884,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
244,GJ 3470 b,1.16200,,,,0.07896,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
245,GJ 3470 b,1.16700,,,,0.07703,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
246,GJ 3470 b,1.17100,,,,0.07557,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
247,GJ 3470 b,1.17600,,,,0.07921,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
248,GJ 3470 b,1.18100,,,,0.07841,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
249,GJ 3470 b,1.18500,,,,0.07615,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
250,GJ 3470 b,1.19000,,,,0.07984,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
251,GJ 3470 b,1.19500,,,,0.08195,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
252,GJ 3470 b,1.19900,,,,0.08110,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
253,GJ 3470 b,1.20400,,,,0.07439,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
254,GJ 3470 b,1.20900,,,,0.07596,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
255,GJ 3470 b,1.21300,,,,0.07735,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
256,GJ 3470 b,1.21800,,,,0.08105,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
257,GJ 3470 b,1.22300,,,,0.07596,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
258,GJ 3470 b,1.22700,,,,0.07905,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
259,GJ 3470 b,1.23200,,,,0.08027,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
260,GJ 3470 b,1.23600,,,,0.07686,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
261,GJ 3470 b,1.24100,,,,0.07424,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
262,GJ 3470 b,1.24600,,,,0.07828,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
263,GJ 3470 b,1.25000,,,,0.07950,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
264,GJ 3470 b,1.25500,,,,0.08140,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
265,GJ 3470 b,1.26000,,,,0.07542,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
266,GJ 3470 b,1.26400,,,,0.07561,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
267,GJ 3470 b,1.26900,,,,0.07215,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
268,GJ 3470 b,1.27400,,,,0.07912,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
269,GJ 3470 b,1.27800,,,,0.08033,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
270,GJ 3470 b,1.28300,,,,0.08141,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
271,GJ 3470 b,1.28800,,,,0.07550,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
272,GJ 3470 b,1.29200,,,,0.07464,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
273,GJ 3470 b,1.29700,,,,0.08013,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
274,GJ 3470 b,1.30100,,,,0.08059,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
275,GJ 3470 b,1.30600,,,,0.08206,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
276,GJ 3470 b,1.31100,,,,0.07435,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
277,GJ 3470 b,1.31500,,,,0.07955,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
278,GJ 3470 b,1.32000,,,,0.07844,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
279,GJ 3470 b,1.32500,,,,0.08461,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
280,GJ 3470 b,1.32900,,,,0.08012,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
281,GJ 3470 b,1.33400,,,,0.07955,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
282,GJ 3470 b,1.33900,,,,0.07273,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
283,GJ 3470 b,1.34300,,,,0.08083,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
284,GJ 3470 b,1.34800,,,,0.08193,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
285,GJ 3470 b,1.35300,,,,0.08189,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
286,GJ 3470 b,1.35700,,,,0.08571,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
287,GJ 3470 b,1.36200,,,,0.08306,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
288,GJ 3470 b,1.36600,,,,0.07876,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
289,GJ 3470 b,1.37100,,,,0.07241,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
290,GJ 3470 b,1.37600,,,,0.08271,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
291,GJ 3470 b,1.38000,,,,0.07755,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
292,GJ 3470 b,1.38500,,,,0.07185,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
293,GJ 3470 b,1.39000,,,,0.07631,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
294,GJ 3470 b,1.39400,,,,0.07902,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
295,GJ 3470 b,1.39900,,,,0.07898,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
296,GJ 3470 b,1.40400,,,,0.07616,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
297,GJ 3470 b,1.40800,,,,0.08306,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
298,GJ 3470 b,1.41300,,,,0.07857,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
299,GJ 3470 b,1.41800,,,,0.06891,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
300,GJ 3470 b,1.42200,,,,0.08018,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
301,GJ 3470 b,1.42700,,,,0.07342,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
302,GJ 3470 b,1.43200,,,,0.08046,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
303,GJ 3470 b,1.43600,,,,0.07819,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
304,GJ 3470 b,1.44100,,,,0.08028,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
305,GJ 3470 b,1.44500,,,,0.08427,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
306,GJ 3470 b,1.45000,,,,0.07419,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
307,GJ 3470 b,1.45500,,,,0.07692,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
308,GJ 3470 b,1.45900,,,,0.08261,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
309,GJ 3470 b,1.46400,,,,0.08052,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
310,GJ 3470 b,1.46900,,,,0.07318,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
311,GJ 3470 b,1.47300,,,,0.07988,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
312,GJ 3470 b,1.47800,,,,0.08339,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
313,GJ 3470 b,1.48300,,,,0.07779,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
314,GJ 3470 b,1.48700,,,,0.07916,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
315,GJ 3470 b,1.49200,,,,0.07709,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
316,GJ 3470 b,1.49700,,,,0.08431,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
317,GJ 3470 b,1.50100,,,,0.07801,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
318,GJ 3470 b,1.50600,,,,0.07541,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
319,GJ 3470 b,1.51000,,,,0.07906,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
320,GJ 3470 b,1.51500,,,,0.07506,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
321,GJ 3470 b,1.52000,,,,0.07624,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
322,GJ 3470 b,1.52400,,,,0.07865,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
323,GJ 3470 b,1.52900,,,,0.07707,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
324,GJ 3470 b,1.53400,,,,0.07780,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
325,GJ 3470 b,1.53800,,,,0.07305,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
326,GJ 3470 b,1.54300,,,,0.07378,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
327,GJ 3470 b,1.54800,,,,0.07773,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
328,GJ 3470 b,1.55200,,,,0.07739,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
329,GJ 3470 b,1.55700,,,,0.08317,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
330,GJ 3470 b,1.56200,,,,0.07987,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A..89E target=ref>Ehrenreich et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
