# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 23 20:23:55 2018
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
rowid,plntname,centralwavelng,bandwidth,plntransdep,plnradj,plnratror,plntranmid,plntranreflink,facility,instrument
22,WASP-12 b,3.60000,,,,0.11722,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
23,WASP-12 b,4.50000,,,,0.11773,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
24,HAT-P-1 b,1.12690,,,,0.11656,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
25,HAT-P-1 b,1.14610,,,,0.11632,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
26,HAT-P-1 b,1.16530,,,,0.11643,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
27,HAT-P-1 b,1.18450,,,,0.11493,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
28,HAT-P-1 b,1.20370,,,,0.11640,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
29,HAT-P-1 b,1.22290,,,,0.11715,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
30,HAT-P-1 b,1.24210,,,,0.11656,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
31,HAT-P-1 b,1.26130,,,,0.11528,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
32,HAT-P-1 b,1.28050,,,,0.11639,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
33,HAT-P-1 b,1.29970,,,,0.11519,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
34,HAT-P-1 b,1.31890,,,,0.11651,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
35,HAT-P-1 b,1.33810,,,,0.11744,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
36,HAT-P-1 b,1.35730,,,,0.11656,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
37,HAT-P-1 b,1.37650,,,,0.11726,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
38,HAT-P-1 b,1.39570,,,,0.11716,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
39,HAT-P-1 b,1.41490,,,,0.11807,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
40,HAT-P-1 b,1.43410,,,,0.11780,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
41,HAT-P-1 b,1.45330,,,,0.11719,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
42,HAT-P-1 b,1.47250,,,,0.11823,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
43,HAT-P-1 b,1.49170,,,,0.11731,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
44,HAT-P-1 b,1.51090,,,,0.11798,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
45,HAT-P-1 b,1.53010,,,,0.11737,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
46,HAT-P-1 b,1.54930,,,,0.11650,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
47,HAT-P-1 b,1.56850,,,,0.11605,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
48,HAT-P-1 b,1.58770,,,,0.11466,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
49,HAT-P-1 b,1.60690,,,,0.11616,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
50,HAT-P-1 b,1.62610,,,,0.11474,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
51,HAT-P-1 b,1.64530,,,,0.11571,2456114.345307,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
52,CoRoT-1 b,0.86000,0.17550,,,0.13890,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
53,CoRoT-1 b,0.98000,0.17550,,,0.14500,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
54,CoRoT-1 b,1.08300,0.17550,,,0.14480,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
55,CoRoT-1 b,1.25900,0.17550,,,0.14400,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
